source,target,dist_m
343,6568,17644.0
343,6763,19486.0
344,9499,47621.0
344,9679,66950.0
345,450,41807.0
345,8749,11074.0
346,6461,74626.0
346,9727,24695.0
347,946,141455.0
347,1174,50204.0
347,1694,98233.0
347,3632,35012.0
347,3658,281246.0
347,3705,36514.0
347,4290,26708.0
347,7630,25065.0
347,8338,134605.0
347,8506,83529.0
347,8979,25335.0
347,9546,88225.0
347,10204,136574.0
347,10247,165677.0
348,1630,138396.0
349,1300,77181.0
349,3485,61986.0
349,3925,100886.0
349,7027,88481.0
349,7380,71885.0
349,10179,110846.0
350,1541,132875.0
350,6136,114504.0
350,6924,62017.0
350,7680,55583.0
350,8863,43374.0
351,3418,16166.0
351,4091,52287.0
351,7330,11722.0
351,7717,80255.0
352,10199,116693.0
353,481,12287.0
353,4765,37009.0
353,9182,69739.0
354,2871,25902.0
355,7824,56297.0
355,8954,10556.0
356,1169,75919.0
356,4667,41938.0
356,5874,28919.0
356,8123,74441.0
356,8336,51670.0
356,8666,128748.0
356,9272,112239.0
357,1135,40994.0
357,7104,130343.0
358,3992,36107.0
359,6424,29057.0
360,1431,152766.0
360,1769,49692.0
360,4964,76634.0
360,6629,200429.0
360,7428,64955.0
361,5401,14158.0
361,7712,33234.0
362,2721,13518.0
362,6611,86916.0
363,1837,41045.0
363,4911,39329.0
364,1635,48136.0
364,7770,65404.0
364,9001,42440.0
364,9889,30.0
364,9918,103420.0
365,3741,37695.0
365,4261,9657.0
365,4755,28083.0
365,9518,108320.0
365,9543,92288.0
366,1814,284226.0
366,6008,23048.0
367,4374,34616.0
367,7108,211624.0
367,8032,26224.0
367,8886,58371.0
368,5091,33265.0
368,9323,105580.0
368,9823,96908.0
368,10358,71270.0
369,2051,8925.0
369,10294,62430.0
370,2934,33200.0
370,5158,11540.0
370,8889,30090.0
370,10037,18583.0
370,10325,23640.0
371,452,32272.0
371,7586,83233.0
371,7953,94306.0
371,8039,59045.0
372,1421,121566.0
372,4277,171261.0
372,6947,75682.0
372,6969,246450.0
372,7005,247056.0
372,7768,266943.0
372,8694,260711.0
373,501,88927.0
373,1294,59583.0
373,3162,41023.0
373,3576,201253.0
373,4129,59750.0
373,4815,47377.0
373,5088,47751.0
373,5902,53280.0
373,7400,72467.0
373,9881,93176.0
374,375,59344.0
374,503,7067.0
374,7121,8502.0
374,7850,83320.0
374,8266,56853.0
374,8828,90437.0
374,9580,120394.0
375,3030,31068.0
375,8828,31094.0
376,3971,223595.0
376,4746,168007.0
376,8542,216526.0
376,9827,54370.0
377,3482,18022.0
378,2766,50993.0
378,6693,147149.0
378,9052,35795.0
379,3490,57776.0
379,8820,32814.0
380,1980,6780.0
380,2000,10375.0
380,3795,47879.0
380,7865,81956.0
380,8312,41716.0
381,4816,20017.0
381,10140,35874.0
382,1362,87078.0
382,1657,164877.0
383,2049,3136.0
383,2079,3616.0
383,2291,2663.0
383,8358,51833.0
384,699,17814.0
384,1248,38493.0
384,2256,7153.0
384,2861,18315.0
384,3167,22331.0
384,6123,34007.0
385,2405,43112.0
385,2443,40011.0
385,4446,48222.0
386,1765,63065.0
386,8205,65874.0
386,8403,187807.0
387,538,216595.0
387,2997,34719.0
387,4849,111265.0
388,5202,12372.0
388,5358,15288.0
388,9646,36831.0
389,10323,93108.0
390,391,9464.0
390,392,19220.0
390,1364,172363.0
390,1672,228508.0
390,4389,89448.0
390,4703,50428.0
390,7022,48598.0
390,7255,91079.0
390,7369,70966.0
390,7411,74126.0
390,8677,57140.0
390,9639,124002.0
390,10045,19630.0
391,5540,28648.0
391,7369,61502.0
392,6931,51836.0
393,1672,60658.0
393,3049,47390.0
393,7200,10096.0
394,8127,33925.0
